site,site_name,Sample_id,depth_category,starting_weight,digested_weight,tin_weight,sample_weight,tray_number,C_percent,N_percent,Del_C,Del_N,mg Carbon,tray_number,type,site_type
SALM,SALM_03,SALM_03G_kmd,G,1.0197,0.8852,33.858,8.865,d1,0.2,0.1,-25.8,14.1,0.02,3,kmd,ridgetop mineral soil
SALM,SALM_01,SALM_01D_standard,D,,,34.671,8.936,e1,4.5,0.4,-25.6,1.5,0.4,3,kmd std,ridgetop mineral soil
SALM,SALM_03,SALM_03F_standard,F,,,33.862,8.139,f1,1.2,0.2,-26.2,3,0.1,3,kmd std,ridgetop mineral soil
,,Batch2_standard,,,,34.296,8.128,g1,5.7,0.4,-26.2,-9.7,0.46,3,kmd std,
SALM,SALM_02,SALM_02A_kmd,A,0.9519,0.68,30.517,8.328,h1,2,0.2,-26,3.6,0.16,3,kmd,hillslope mineral soil
SALM,SALM_02,SALM_02B_kmd,B,1.047,0.8048,31.887,8.749,a2,0.9,0.1,-25.9,4.1,0.08,3,kmd,hillslope mineral soil
SALM,SALM_02,SALM_02C_kmd,C,0.9771,0.8204,33.562,8.236,b2,0.5,0.1,-25,8.8,0.04,3,kmd,hillslope mineral soil
SALM,SALM_02,SALM_02D_kmd,D,0.9887,0.8426,34.186,8.292,c2,0.5,0.1,-24.3,9.7,0.04,3,kmd,hillslope mineral soil
SALM,SALM_02,SALM_02E_kmd,E,0.9797,0.8512,32.226,8.116,d2,0.3,0.1,-24.5,10.8,0.03,3,kmd,hillslope mineral soil
SALM,SALM_02,SALM_02F_kmd,F,0.9644,0.8336,33.975,8.791,e2,0.8,0.1,-27.1,-2.3,0.07,3,kmd,hillslope mineral soil
SALM,SALM_02,SALM_02G_kmd,G,1.0185,0.6764,32.189,8.278,f2,1,0.1,-27.5,-3.4,0.08,3,kmd,hillslope mineral soil
GOG,GOG_02,GOG_02A_kmd,A,1.0467,0.8603,34.34,8.408,g2,0.6,0.1,-24.9,3.2,0.05,3,kmd,ridgetop mineral soil
GOG,GOG_02,GOG_02B_kmd,B,1.0522,0.8559,34.073,8.841,h2,1.1,0.1,-25.9,-2,0.1,3,kmd,ridgetop mineral soil
GOG,GOG_02,GOG_02C_kmd,C,0.949,0.7972,34.279,8.392,a3,0.7,0.1,-25.6,1.8,0.06,3,kmd,ridgetop mineral soil
GOG,GOG_02,GOG_02D_kmd,D,1.0137,0.873,33.91,8.389,b3,0.4,0.1,-25.7,6.3,0.04,3,kmd,ridgetop mineral soil
